MLA,Party,ElectoralDistrict
Darryl Plecas,Liberal,Abbotsford South
Michael de Jong,Liberal,Abbotsford West
Simon Gibson,Liberal,Abbotsford-Mission
Scott Fraser,NDP,Alberni-Pacific Rim
Linda Larson,Liberal,Boundary-Similkameen
Kathy Corrigan,NDP,Burnaby-Deer Lake
Raj Chouhan,NDP,Burnaby-Edmonds
Jane Shin,NDP,Burnaby-Lougheed
Richard Lee,Liberal,Burnaby North
Donna Barnett,Liberal,Cariboo-Chilcotin
Coralee Oakes,Liberal,Cariboo North
John Martin,Liberal,Chilliwack
Laurie Throness,Liberal,Chilliwack-Hope
Norm Macdonald,NDP,Columbia River-Revelstoke
Don McRae,Liberal,Comox Valley
Jodie Wickens,NDP,Coquitlam-Burke Mountain
Selina Robinson,NDP,Coquitlam-Maillardville
Bill Routley,NDP,Cowichan Valley
Scott Hamilton,Liberal,Delta North
Vicki Huntington,Independent,Delta South
Maurine Karagianis,NDP,Esquimalt-Royal Roads
Rich Coleman,Liberal,Fort Langley-Aldergrove
Jackie Tegart,Liberal,Fraser-Nicola
John Horgan,NDP,Juan de Fuca
Terry Lake,Liberal,Kamloops-North Thompson
Todd Stone,Liberal,Kamloops-South Thompson
Norm Letnick,Liberal,Kelowna-Lake Country
Steve Thomson,Liberal,Kelowna-Mission
Bill Bennett,Liberal,Kootenay East
Katrine Conroy,NDP,Kootenay West
Mary Polak,Liberal,Langley
Marc Dalton,Liberal,Maple Ridge-Mission
Doug Bing,Liberal,Maple Ridge-Pitt Meadows
Leonard Krog,NDP,Nanaimo
Doug Routley,NDP,Nanaimo-North Cowichan
John Rustad,Liberal,Nechako Lakes
Michelle Mungall,NDP,Nelson-Creston
Judy Darcy,NDP,New Westminster
Jennifer Rice,NDP,North Coast
Claire Trevena,NDP,North Island
Naomi Yamamoto,Liberal,North Vancouver-Lonsdale
Jane Thornthwaite,Liberal,North Vancouver-Seymour
Andrew J. Weaver,Green,Oak Bay-Gordon Head
Michelle Stilwell,Liberal,Parksville-Qualicum
Pat Pimm,Independent,Peace River North
Mike Bernier,Liberal,Peace River South
Dan Ashton,Liberal,Penticton
Mike Farnworth,NDP,Port Coquitlam
Linda Reimer,Liberal,Port Moody-Coquitlam
Nicholas Simons,NDP,Powell River-Sunshine Coast
Mike Morris,Liberal,Prince George-Mackenzie
Shirley Bond,Liberal,Prince George-Valemount
Teresa Wat,Liberal,Richmond Centre
Linda Reid,Liberal,Richmond East
John Yap,Liberal,Richmond-Steveston
Gary Holman,NDP,Saanich North and the Islands
Lana Popham,NDP,Saanich South
Greg Kyllo,Liberal,Shuswap
Robin Austin,NDP,Skeena
Doug Donaldson,NDP,Stikine
Stephanie Cadieux,Liberal,Surrey-Cloverdale
Peter Fassbender,Liberal,Surrey-Fleetwood
Sue Hammell,NDP,Surrey-Green Timbers
Harry Bains,NDP,Surrey-Newton
Marvin Hunt,Liberal,Surrey-Panorama
Amrik Virk,Liberal,Surrey-Tynehead
Bruce Ralston,NDP,Surrey-Whalley
Gordon Hogg,Liberal,Surrey-White Rock
George Heyman,NDP,Vancouver-Fairview
Sam Sullivan,Liberal,Vancouver-False Creek
Suzanne Anton,Liberal,Vancouver-Fraserview
Shane Simpson,NDP,Vancouver-Hastings
Mable Elmore,NDP,Vancouver-Kensington
Adrian Dix,NDP,Vancouver-Kingsway
Moira Stilwell,Liberal,Vancouver-Langara
Melanie Mark,NDP,Vancouver-Mount Pleasant
David Eby,NDP,Vancouver-Point Grey
Andrew Wilkinson,Liberal,Vancouver-Quilchena
Spencer Chandra Herbert,NDP,Vancouver-West End
Eric Foster,Liberal,Vernon-Monashee
Carole James,NDP,Victoria-Beacon Hill
Rob Fleming,NDP,Victoria-Swan Lake
Ralph Sultan,Liberal,West Vancouver-Capilano
Jordan Sturdy,Liberal,West Vancouver-Sea to Sky
Christy Clark,Liberal,Westside-Kelowna
